iter	Passed	Remaining
0	5	5842
1	11	5747
2	16	5538
3	21	5344
4	26	5263
5	31	5239
6	36	5184
7	41	5166
8	46	5149
9	51	5064
10	56	5090
11	61	5096
12	66	5081
13	72	5102
14	77	5100
15	82	5080
16	103	5972
17	108	5924
18	114	5906
19	119	5848
20	124	5790
21	129	5748
22	134	5720
23	139	5683
24	144	5646
25	149	5617
26	155	5595
27	160	5570
28	165	5540
29	170	5513
30	176	5509
31	181	5481
32	185	5429
33	190	5414
34	195	5395
35	200	5375
36	205	5351
37	210	5338
38	215	5312
39	220	5300
40	226	5291
41	230	5268
42	235	5245
43	241	5242
44	246	5224
45	251	5208
46	256	5190
47	260	5173
48	265	5160
49	271	5155
50	276	5140
51	281	5135
52	286	5122
53	291	5112
54	297	5108
55	302	5105
56	308	5102
57	314	5100
58	319	5093
59	324	5084
60	330	5082
61	335	5074
62	340	5065
63	346	5074
64	352	5066
65	357	5056
66	362	5044
67	367	5031
68	372	5026
69	377	5016
70	382	5004
71	388	5001
72	393	4992
73	397	4980
74	403	4972
75	408	4968
76	413	4957
77	418	4947
78	423	4932
79	428	4931
80	434	4929
81	439	4917
82	444	4908
83	450	4907
84	454	4895
85	459	4883
86	464	4872
87	469	4866
88	474	4858
89	479	4846
90	484	4838
91	489	4829
92	494	4821
93	499	4818
94	505	4810
95	510	4802
96	515	4796
97	520	4787
98	525	4783
99	530	4777
100	535	4769
101	541	4763
102	546	4756
103	551	4750
104	556	4742
105	561	4733
106	566	4728
107	572	4725
108	576	4715
109	581	4704
110	586	4699
